# M=28, N=14, max=1, PBC
# U/t                  E0/t                S1(l=14)             S1_OP(l=14)          S4.0(l=14)           S4.0_OP(l=14)        Sigma2_n(l=14)       H(4.0)              S(4.0)_OP(5) 
  0.030000000019365026 -17.738594006233807 1.4557207425211918  0.4374047520039247  0.8892598075683811  0.16882652389806083 0.4487715209290144  0.6998584164829766  0.16854368536729528 
  0.0332441058799503   -17.725199820890815 1.4557219731911186  0.4377349332680132  0.889072856334075   0.1689949248635519  0.4484754326956448  0.6994598933457074  0.16871087843892912 
  0.03683901916813193  -17.710365870428454 1.4557234814422462  0.4381005677135407  0.8888661587931384  0.16918150210505933 0.44814790270740446 0.6990187276771016  0.16889611192876833 
  0.04082267509827882  -17.69393842596665  1.4557253294965498  0.438505433428645   0.888637685229413   0.16938821430414172 0.44778565896112354 0.6985304088569015  0.16910132860583715 
  0.045237111079799136 -17.675747579891475 1.4557275933862717  0.43895370493691793 0.888385209960572   0.16961723071871762 0.44738510369523254 0.6979899605357434  0.16932867980892408 
  0.05012891031563893  -17.65560559693194  1.4557303659707928  0.43944999351218744 0.8881062953174614  0.1698709537937333  0.4469422841527262  0.6973918949749273  0.16958054777176562 
  0.05554969337013041  -17.63330510956104  1.45573376059549    0.43999939134660765 0.8877982750038389  0.17015204422831817 0.4464528612537322  0.6967301634053971  0.16985957035228844 
  0.061556662893444754 -17.60861714594303  1.455737915523465   0.4406075198897971  0.8874582370011478  0.17046344876977074 0.44591207658299936 0.6959981021662649  0.17016866843867332 
  0.06821320725083786  -17.581288978494875 1.4557429992953645  0.44128058271384135 0.887083006246276   0.17080843106544308 0.44531471747079365 0.6951883743703876  0.17051107634301244 
  0.07558956942646847  -17.551041781198958 1.4557492172011335  0.44202542328245864 0.8866691273886214  0.17119060594878185 0.44465508011100496 0.6942929068364478  0.17089037553929523 
  0.08376358826037628  -17.517568084181804 1.455756819080231   0.44284958802213253 0.8862128480291918  0.17161397757915198 0.44392693124419935 0.6933028220634738  0.17131053215897768 
  0.09282151984050067  -17.480529014844965 1.455766108704218   0.4437613951378727  0.8857101029617207  0.17208298194288837 0.44312346857791596 0.6922083650112931  0.17177593872786423 
  0.10285894771745487  -17.43955131612834  1.455777455037537   0.4447700096701547  0.8851565000784365  0.17260253433052408 0.4422372797811036  0.6909988244277998  0.17229146071735785 
  0.1139817915470694   -17.394224134443952 1.4557913057193268  0.4458855253270803  0.8845473087747578  0.17317808249347505 0.44126030102835045 0.6896624485025808  0.17286248859759348 
  0.12630742480437512  -17.34409557262754  1.4558082031599082  0.44711905372752053 0.8838774518933785  0.17381566637460566 0.44018377507916995 0.6881863545766561  0.173494996229078   
  0.13996591336366881  -17.288669007140562 1.4558288037006593  0.4484828217915087  0.8831415024949705  0.17452198550155232 0.43899820937577516 0.6865564325911349  0.1741956066254272  
  0.1551013880147405   -17.22739917399614  1.4558539003425341  0.4499902781594352  0.8823336870361291  0.17530447539600091 0.4376933350758634  0.6847572419019898  0.17497166638098385 
  0.1718735653986984   -17.15968803482836  1.4558844496054348  0.45165620976203635 0.8814478968853702  0.17617139476034255 0.43625806675807866 0.6827719009032626  0.1758313304081615  
  0.19045943341302138  -17.084880443595992 1.4559216031331947  0.45349686994064375 0.8804777105232582  0.17713192566350724 0.4346804638824793  0.680581968700933   0.1767836591062954  
  0.21105511887102466  -17.002259646145486 1.4559667447028026  0.4555301199695933  0.8794164292693707  0.17819628966156353 0.4329476941370771  0.6781673176947207  0.17783873073712503 
  0.23387795712415968  -16.91104265990442  1.4560215333224276  0.457775586460277   0.8782571299723938  0.1793758837515809  0.43104599814348177 0.675505995323628   0.1790077726853592  
